Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Total_Points
maverick7749,Mav,,,LSG,1.0,RCB,1.0,GT,1.0,DC,2.0,RR,2.0,7.0
max._.caulfield,Max,KKR,1.0,SRH,0.0,CSK,0.0,GT,1.0,DC,2.0,RR,2.0,6.0
jadelessbarukan,jadeless,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,DC,2.0,RR,2.0,5.0
ashmrth,Ashmrth,RR,0.0,LSG,1.0,RCB,1.0,---,0.0,---,0.0,RR,2.0,4.0
crazybats_v,Casper,KKR,1.0,---,0.0,RCB,1.0,MI,0.0,SRH,0.0,RR,2.0,4.0
static_25,Static,KKR,1.0,SRH,0.0,CSK,0.0,GT,1.0,DC,2.0,CSK,0.0,4.0
thewebshooter,TheWebShooter,KKR,1.0,SRH,0.0,CSK,0.0,GT,1.0,SRH,0.0,RR,2.0,4.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,RR,0.0,LSG,1.0,CSK,0.0,MI,0.0,DC,2.0,CSK,0.0,3.0
hungry_wolf,HungrY_WolF,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,SRH,0.0,RR,2.0,3.0
khanatfarm,KHANatFARM,KKR,1.0,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,RR,2.0,3.0
roguehunter15,RogueHunter,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,SRH,0.0,RR,2.0,3.0
thefarzi,Farzi,KKR,1.0,SRH,0.0,RCB,1.0,GT,1.0,SRH,0.0,CSK,0.0,3.0
vader8726,vader,KKR,1.0,LSG,1.0,RCB,1.0,---,0.0,---,0.0,---,0.0,3.0
ind_mafia_sahil,IND_Mafia_Sahil,,,SRH,0.0,RCB,1.0,MI,0.0,DC,2.0,CSK,0.0,3.0
light_itachi_op,Monkey Uzumaki,,,SRH,0.0,RCB,1.0,MI,0.0,DC,2.0,CSK,0.0,3.0
roarycat,RoaryCat,RR,0.0,SRH,0.0,---,0.0,MI,0.0,SRH,0.0,RR,2.0,2.0
tushar07019,,KKR,1.0,SRH,0.0,RCB,1.0,MI,0.0,SRH,0.0,CSK,0.0,2.0
vahgar,Allen The Alien,RR,0.0,SRH,0.0,CSK,0.0,MI,0.0,SRH,0.0,RR,2.0,2.0
asterayah,Zarathon,,,LSG,1.0,RCB,1.0,---,0.0,---,0.0,---,0.0,2.0
nullpixel96,Nullpixel96,,,SRH,0.0,RCB,1.0,GT,1.0,---,0.0,---,0.0,2.0
slidemaster0547,Slide Master,,,LSG,1.0,RCB,1.0,MI,0.0,SRH,0.0,CSK,0.0,2.0
1nv1nc1b1e18,Him.,,,,,RCB,1.0,GT,1.0,---,0.0,---,0.0,2.0
insane_dwane,Insane_Dwane,,,,,RCB,1.0,GT,1.0,SRH,0.0,---,0.0,2.0
pkmkb6011,Sunny Paaji,,,,,RCB,1.0,GT,1.0,---,0.0,---,0.0,2.0
bigshikki,BigShik,,,,,,,,,,,RR,2.0,2.0
aayush1965070,Aayush196,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
amangoyal,Aman,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
darkwolf_newbie,Darkwolf,KKR,1.0,SRH,0.0,---,0.0,---,0.0,SRH,0.0,---,0.0,1.0
dudhwalaop69,DudhWalaOP,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
fawaz4413,,RR,0.0,SRH,0.0,---,0.0,GT,1.0,SRH,0.0,CSK,0.0,1.0
gladiator30,Gladiator,RR,0.0,SRH,0.0,RCB,1.0,MI,0.0,SRH,0.0,CSK,0.0,1.0
itsdomtoretto,Dom,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
jayzus01,Jayan,KKR,1.0,---,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,1.0
singh84,Singh,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
the_mizer,DrVimp,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,SRH,0.0,CSK,0.0,1.0
croco_boya,Croco,,,LSG,1.0,CSK,0.0,---,0.0,SRH,0.0,CSK,0.0,1.0
fezvaz,Vaz,,,SRH,0.0,RCB,1.0,---,0.0,SRH,0.0,CSK,0.0,1.0
gooffyluffyy,Luffy,,,SRH,0.0,CSK,0.0,GT,1.0,SRH,0.0,CSK,0.0,1.0
light083969,Light,,,,,RCB,1.0,---,0.0,---,0.0,---,0.0,1.0
rishavmaiti,rishavmaiti,,,,,RCB,1.0,MI,0.0,SRH,0.0,CSK,0.0,1.0
shieldofachielles,shield of Achielles,,,,,CSK,0.0,GT,1.0,---,0.0,CSK,0.0,1.0
.selmonbhai,Tanjiro kamado,RR,0.0,SRH,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
aakashmangla,Babu Bhaiya,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
astrobot_7,PS_USER,RR,0.0,SRH,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,0.0
d3vilbring3r,d3vilbring3r,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
dag_21,daggr,RR,0.0,SRH,0.0,---,0.0,---,0.0,SRH,0.0,CSK,0.0,0.0
jubilant_chipmunk_76062,,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
mrj619,MrJ619,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
reflekt_11,Reflekt,RR,0.0,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,CSK,0.0,0.0
rithick_devaraj,rithick_devaraj,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
emptycases,J,,,SRH,0.0,CSK,0.0,MI,0.0,---,0.0,---,0.0,0.0
nftprofessor,NFTProfessor,,,SRH,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,0.0
sauzz,Sauzz,,,SRH,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
sriprakash,Sri Prakash,,,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,CSK,0.0,0.0
riq9634,Riq,,,,,CSK,0.0,---,0.0,---,0.0,---,0.0,0.0
elprofesor6338,Èl Profesor™,,,,,,,MI,0.0,SRH,0.0,CSK,0.0,0.0
gamerpradosh,Gamer Pradosh,,,,,,,,,,,CSK,0.0,0.0
