Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Match_7_Team_Short,Match_7_Points,Match_8_Team_Short,Match_8_Points,Match_9_Team_Short,Match_9_Points,Match_10_Team_Short,Match_10_Points,Total_Points
jadelessbarukan,jadeless,MI,0.0,LSG,1.5,PBKS,1.5,RR,0.0,DC,1.0,KKR,1.0,LSG,1.5,SRH,1.5,RR,0.0,MI,2.0,10.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,MI,0.0,LSG,1.5,CSK,0.0,GT,1.0,RCB,0.0,CSK,0.0,LSG,1.5,SRH,1.5,RCB,2.0,MI,2.0,9.5
ind_mafia_sahil,IND_Mafia_Sahil,RCB,1.0,LSG,1.5,PBKS,1.5,GT,1.0,DC,1.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,9.0
insane_dwane,Insane_Dwane,RCB,1.0,KKR,0.0,CSK,0.0,GT,1.0,RCB,0.0,KKR,1.0,GT,0.0,SRH,1.5,RCB,2.0,MI,2.0,8.5
crazybats_v,Casper,MI,0.0,KKR,0.0,PBKS,1.5,RR,0.0,RCB,0.0,KKR,1.0,GT,0.0,SRH,1.5,RCB,2.0,MI,2.0,8.0
thewebshooter,TheWebShooter,MI,0.0,LSG,1.5,PBKS,1.5,GT,1.0,DC,1.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,8.0
emptycases,J,RCB,1.0,KKR,0.0,PBKS,1.5,GT,1.0,DC,1.0,KKR,1.0,GT,0.0,---,0.0,RCB,2.0,DC,0.0,7.5
light_itachi_op,Monkey Uzumaki,MI,0.0,KKR,0.0,PBKS,1.5,GT,1.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,MI,2.0,7.5
thefarzi,Farzi,RCB,1.0,KKR,0.0,PBKS,1.5,GT,1.0,RCB,0.0,CSK,0.0,GT,0.0,PBKS,0.0,RCB,2.0,MI,2.0,7.5
gladiator30,Gladiator,MI,0.0,LSG,1.5,CSK,0.0,GT,1.0,DC,1.0,CSK,0.0,LSG,1.5,PBKS,0.0,RCB,2.0,DC,0.0,7.0
slidemaster0547,Slide Master,RCB,1.0,LSG,1.5,PBKS,1.5,RR,0.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,7.0
apurv5411,APURV,RCB,1.0,KKR,0.0,PBKS,1.5,GT,1.0,---,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,6.5
fezvaz,Vaz,RCB,1.0,KKR,0.0,PBKS,1.5,GT,1.0,RCB,0.0,KKR,1.0,---,0.0,PBKS,0.0,RCB,2.0,DC,0.0,6.5
hungry_wolf,HungrY_WolF,MI,0.0,KKR,0.0,PBKS,1.5,GT,1.0,DC,1.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,6.5
maverick7749,Mav,MI,0.0,KKR,0.0,PBKS,1.5,RR,0.0,DC,1.0,KKR,1.0,LSG,1.5,SRH,1.5,RR,0.0,DC,0.0,6.5
tushar07019,,RCB,1.0,KKR,0.0,PBKS,1.5,GT,1.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,6.5
astrobot_7,PS_USER,MI,0.0,LSG,1.5,CSK,0.0,RR,0.0,DC,1.0,CSK,0.0,LSG,1.5,PBKS,0.0,RR,0.0,MI,2.0,6.0
rishavmaiti,rishavmaiti,,,,,CSK,0.0,---,0.0,DC,1.0,CSK,0.0,LSG,1.5,SRH,1.5,---,0.0,MI,2.0,6.0
khanatfarm,KHANatFARM,MI,0.0,KKR,0.0,PBKS,1.5,GT,1.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,5.5
roguehunter15,RogueHunter,MI,0.0,KKR,0.0,PBKS,1.5,GT,1.0,---,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,5.5
the_mizer,DrVimp,RCB,1.0,KKR,0.0,PBKS,1.5,RR,0.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,5.5
roarycat,RoaryCat,MI,0.0,---,0.0,CSK,0.0,RR,0.0,RCB,0.0,CSK,0.0,LSG,1.5,SRH,1.5,RR,0.0,MI,2.0,5.0
sriprakash,Sri Prakash,MI,0.0,KKR,0.0,PBKS,1.5,GT,1.0,DC,1.0,---,0.0,LSG,1.5,PBKS,0.0,RR,0.0,DC,0.0,5.0
gooffyluffyy,Luffy,MI,0.0,KKR,0.0,CSK,0.0,RR,0.0,DC,1.0,CSK,0.0,LSG,1.5,PBKS,0.0,RR,0.0,MI,2.0,4.5
reflekt_11,Reflekt,MI,0.0,KKR,0.0,PBKS,1.5,RR,0.0,DC,1.0,CSK,0.0,GT,0.0,PBKS,0.0,RCB,2.0,DC,0.0,4.5
elprofesor6338,Èl Profesor™,RCB,1.0,---,0.0,CSK,0.0,GT,1.0,RCB,0.0,CSK,0.0,GT,0.0,---,0.0,---,0.0,MI,2.0,4.0
static_25,Static,RCB,1.0,KKR,0.0,CSK,0.0,GT,1.0,RCB,0.0,CSK,0.0,GT,0.0,SRH,1.5,RR,0.0,DC,0.0,3.5
vahgar,Allen The Alien,RCB,1.0,KKR,0.0,PBKS,1.5,RR,0.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RR,0.0,---,0.0,3.5
dag_21,daggr,,,KKR,0.0,PBKS,1.5,GT,1.0,DC,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,3.5
iamthathit,IamthatHit,,,,,PBKS,1.5,GT,1.0,DC,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,3.5
csharp21,CSharp,MI,0.0,---,0.0,---,0.0,---,0.0,DC,1.0,CSK,0.0,---,0.0,---,0.0,RCB,2.0,DC,0.0,3.0
darkwolf_newbie,Darkwolf,RCB,1.0,KKR,0.0,---,0.0,GT,1.0,DC,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,3.0
max._.caulfield,Max,RCB,1.0,---,0.0,---,0.0,GT,1.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RR,0.0,DC,0.0,3.0
pkmkb6011,Sunny Paaji,RCB,1.0,KKR,0.0,---,0.0,---,0.0,RCB,0.0,---,0.0,---,0.0,---,0.0,RCB,2.0,DC,0.0,3.0
jubilant_chipmunk_76062,,,,,,PBKS,1.5,GT,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,2.5
harish_datta_,Harish_datta_,MI,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RR,0.0,MI,2.0,2.0
fawaz4413,,,,KKR,0.0,CSK,0.0,GT,1.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,---,0.0,---,0.0,2.0
jerry0_o,Jerry0_0,,,,,,,,,RCB,0.0,---,0.0,---,0.0,---,0.0,RCB,2.0,DC,0.0,2.0
deadshot06.,,,,,,,,,,,,,,,,,,RCB,2.0,---,0.0,2.0
kakashi019805,Kakashi,,,,,,,,,,,,,,,,,RCB,2.0,DC,0.0,2.0
cdgamers14,cdgamers😎,,,KKR,0.0,PBKS,1.5,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.5
iamzeus,iAmZeus,,,KKR,0.0,PBKS,1.5,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.5
lelouch1806,lelouch,,,,,PBKS,1.5,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.5
1nv1nc1b1e18,Him.,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
_simplet0n,ZePHyR,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
nullpixel96,Nullpixel96,,,,,,,,,,,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
croco_boya,Croco,MI,0.0,KKR,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
gane_sh,Gane_sh,,,,,,,,,RCB,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
gamerpradosh,Gamer Pradosh,,,,,,,,,,,CSK,0.0,GT,0.0,PBKS,0.0,---,0.0,---,0.0,0.0
soul_999.,SOUL_999,,,,,,,,,,,,,,,PBKS,0.0,---,0.0,---,0.0,0.0
.agentvic,agentVic,,,,,,,,,,,,,,,,,,,DC,0.0,0.0
