Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Match_7_Team_Short,Match_7_Points,Match_8_Team_Short,Match_8_Points,Match_9_Team_Short,Match_9_Points,Match_10_Team_Short,Match_10_Points,Match_11_Team_Short,Match_11_Points,Match_12_Team_Short,Match_12_Points,Match_13_Team_Short,Match_13_Points,Match_14_Team_Short,Match_14_Points,Total_Points
jadelessbarukan,jadeless,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,DC,2.0,RR,2.0,MI,1.0,PBKS,1.0,GT,1.0,SRH,0.0,MI,0.0,DC,2.0,PBKS,0.0,GT,2.0,12.0
static_25,Static,KKR,1.0,SRH,0.0,CSK,0.0,GT,1.0,DC,2.0,CSK,0.0,MI,1.0,PBKS,1.0,RCB,0.0,KKR,1.0,LSG,1.0,CSK,0.0,RR,2.0,SRH,0.0,10.0
khanatfarm,KHANatFARM,KKR,1.0,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,RR,2.0,KKR,0.0,LSG,0.0,RCB,0.0,KKR,1.0,LSG,1.0,DC,2.0,PBKS,0.0,GT,2.0,9.0
light_itachi_op,Monkey Uzumaki,---,0.0,SRH,0.0,RCB,1.0,MI,0.0,DC,2.0,CSK,0.0,KKR,0.0,PBKS,1.0,RCB,0.0,KKR,1.0,MI,0.0,DC,2.0,PBKS,0.0,GT,2.0,9.0
maverick7749,Mav,---,0.0,LSG,1.0,RCB,1.0,GT,1.0,DC,2.0,RR,2.0,KKR,0.0,LSG,0.0,GT,1.0,KKR,1.0,MI,0.0,CSK,0.0,PBKS,0.0,SRH,0.0,9.0
roarycat,RoaryCat,RR,0.0,SRH,0.0,---,0.0,MI,0.0,SRH,0.0,RR,2.0,MI,1.0,PBKS,1.0,GT,1.0,SRH,0.0,MI,0.0,DC,2.0,RR,2.0,SRH,0.0,9.0
thefarzi,Farzi,KKR,1.0,SRH,0.0,RCB,1.0,GT,1.0,SRH,0.0,CSK,0.0,MI,1.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,DC,2.0,PBKS,0.0,GT,2.0,9.0
thewebshooter,TheWebShooter,KKR,1.0,SRH,0.0,CSK,0.0,GT,1.0,SRH,0.0,RR,2.0,KKR,0.0,LSG,0.0,RCB,0.0,SRH,0.0,LSG,1.0,DC,2.0,PBKS,0.0,GT,2.0,9.0
crazybats_v,Casper,KKR,1.0,---,0.0,RCB,1.0,MI,0.0,SRH,0.0,RR,2.0,KKR,0.0,PBKS,1.0,GT,1.0,SRH,0.0,MI,0.0,DC,2.0,PBKS,0.0,SRH,0.0,8.0
gooffyluffyy,Luffy,---,0.0,SRH,0.0,CSK,0.0,GT,1.0,SRH,0.0,CSK,0.0,MI,1.0,LSG,0.0,GT,1.0,SRH,0.0,LSG,1.0,CSK,0.0,RR,2.0,GT,2.0,8.0
roguehunter15,RogueHunter,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,SRH,0.0,RR,2.0,KKR,0.0,LSG,0.0,RCB,0.0,KKR,1.0,MI,0.0,DC,2.0,PBKS,0.0,GT,2.0,8.0
slidemaster0547,Slide Master,---,0.0,LSG,1.0,RCB,1.0,MI,0.0,SRH,0.0,CSK,0.0,MI,1.0,LSG,0.0,RCB,0.0,SRH,0.0,LSG,1.0,DC,2.0,PBKS,0.0,GT,2.0,8.0
tushar07019,,KKR,1.0,SRH,0.0,RCB,1.0,MI,0.0,SRH,0.0,CSK,0.0,MI,1.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,DC,2.0,PBKS,0.0,GT,2.0,8.0
astrobot_7,PS_USER,RR,0.0,SRH,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,1.0,DC,2.0,RR,2.0,GT,2.0,7.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,RR,0.0,LSG,1.0,CSK,0.0,MI,0.0,DC,2.0,CSK,0.0,MI,1.0,LSG,0.0,RCB,0.0,KKR,1.0,MI,0.0,CSK,0.0,RR,2.0,SRH,0.0,7.0
hungry_wolf,HungrY_WolF,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,SRH,0.0,RR,2.0,KKR,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,LSG,1.0,DC,2.0,PBKS,0.0,SRH,0.0,7.0
max._.caulfield,Max,KKR,1.0,SRH,0.0,CSK,0.0,GT,1.0,DC,2.0,RR,2.0,KKR,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,PBKS,0.0,SRH,0.0,7.0
vahgar,Allen The Alien,RR,0.0,SRH,0.0,CSK,0.0,MI,0.0,SRH,0.0,RR,2.0,KKR,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,DC,2.0,RR,2.0,SRH,0.0,7.0
ind_mafia_sahil,IND_Mafia_Sahil,---,0.0,SRH,0.0,RCB,1.0,MI,0.0,DC,2.0,CSK,0.0,KKR,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,DC,2.0,PBKS,0.0,SRH,0.0,6.0
reflekt_11,Reflekt,RR,0.0,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,CSK,0.0,MI,1.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,RR,2.0,GT,2.0,6.0
sriprakash,Sri Prakash,---,0.0,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,CSK,0.0,KKR,0.0,PBKS,1.0,---,0.0,SRH,0.0,LSG,1.0,DC,2.0,PBKS,0.0,GT,2.0,6.0
ashmrth,Ashmrth,RR,0.0,LSG,1.0,RCB,1.0,---,0.0,---,0.0,RR,2.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,1.0,---,0.0,---,0.0,---,0.0,5.0
croco_boya,Croco,---,0.0,LSG,1.0,CSK,0.0,---,0.0,SRH,0.0,CSK,0.0,KKR,0.0,---,0.0,---,0.0,KKR,1.0,LSG,1.0,CSK,0.0,RR,2.0,SRH,0.0,5.0
darkwolf_newbie,Darkwolf,KKR,1.0,SRH,0.0,---,0.0,---,0.0,SRH,0.0,---,0.0,KKR,0.0,LSG,0.0,GT,1.0,SRH,0.0,LSG,1.0,DC,2.0,---,0.0,SRH,0.0,5.0
rishavmaiti,rishavmaiti,---,0.0,---,0.0,RCB,1.0,MI,0.0,SRH,0.0,CSK,0.0,MI,1.0,LSG,0.0,GT,1.0,---,0.0,---,0.0,---,0.0,RR,2.0,SRH,0.0,5.0
csharp21,CSharp,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,MI,0.0,DC,2.0,RR,2.0,---,0.0,4.0
dag_21,daggr,RR,0.0,SRH,0.0,---,0.0,---,0.0,SRH,0.0,CSK,0.0,MI,1.0,PBKS,1.0,---,0.0,---,0.0,---,0.0,DC,2.0,PBKS,0.0,SRH,0.0,4.0
elprofesor6338,Èl Profesor™,---,0.0,---,0.0,---,0.0,MI,0.0,SRH,0.0,CSK,0.0,KKR,0.0,PBKS,1.0,RCB,0.0,---,0.0,LSG,1.0,CSK,0.0,RR,2.0,SRH,0.0,4.0
fezvaz,Vaz,---,0.0,SRH,0.0,RCB,1.0,---,0.0,SRH,0.0,CSK,0.0,KKR,0.0,---,0.0,RCB,0.0,KKR,1.0,MI,0.0,DC,2.0,PBKS,0.0,SRH,0.0,4.0
pkmkb6011,Sunny Paaji,---,0.0,---,0.0,RCB,1.0,GT,1.0,---,0.0,---,0.0,---,0.0,LSG,0.0,RCB,0.0,---,0.0,---,0.0,CSK,0.0,---,0.0,GT,2.0,4.0
the_mizer,DrVimp,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,SRH,0.0,CSK,0.0,MI,1.0,LSG,0.0,GT,1.0,KKR,1.0,MI,0.0,CSK,0.0,PBKS,0.0,SRH,0.0,4.0
vader8726,vader,KKR,1.0,LSG,1.0,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,1.0,---,0.0,---,0.0,---,0.0,4.0
emptycases,J,---,0.0,SRH,0.0,CSK,0.0,MI,0.0,---,0.0,---,0.0,KKR,0.0,PBKS,1.0,GT,1.0,SRH,0.0,LSG,1.0,CSK,0.0,PBKS,0.0,SRH,0.0,3.0
gane_sh,Gane_sh,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,PBKS,1.0,---,0.0,---,0.0,MI,0.0,CSK,0.0,RR,2.0,---,0.0,3.0
gladiator30,Gladiator,RR,0.0,SRH,0.0,RCB,1.0,MI,0.0,SRH,0.0,CSK,0.0,MI,1.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,PBKS,0.0,SRH,0.0,3.0
iamthathit,IamthatHit,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,SRH,0.0,LSG,1.0,---,0.0,---,0.0,GT,2.0,3.0
1nv1nc1b1e18,Him.,---,0.0,---,0.0,RCB,1.0,GT,1.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,SRH,0.0,---,0.0,---,0.0,---,0.0,---,0.0,2.0
asterayah,Zarathon,---,0.0,LSG,1.0,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,2.0
bigshikki,BigShik,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RR,2.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,2.0
cdgamers14,cdgamers😎,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,KKR,1.0,LSG,1.0,---,0.0,---,0.0,---,0.0,2.0
fawaz4413,,RR,0.0,SRH,0.0,---,0.0,GT,1.0,SRH,0.0,CSK,0.0,---,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,PBKS,0.0,---,0.0,2.0
insane_dwane,Insane_Dwane,---,0.0,---,0.0,RCB,1.0,GT,1.0,SRH,0.0,---,0.0,KKR,0.0,LSG,0.0,RCB,0.0,SRH,0.0,MI,0.0,---,0.0,---,0.0,SRH,0.0,2.0
nullpixel96,Nullpixel96,---,0.0,SRH,0.0,RCB,1.0,GT,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,SRH,0.0,2.0
aayush1965070,Aayush196,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
amangoyal,Aman,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
dudhwalaop69,DudhWalaOP,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
garageembark,DEFALT,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,PBKS,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
itsdomtoretto,Dom,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
jayzus01,Jayan,KKR,1.0,---,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
lelouch1806,lelouch,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,SRH,0.0,LSG,1.0,---,0.0,---,0.0,---,0.0,1.0
light083969,Light,---,0.0,---,0.0,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
liv4sid,Sid,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,1.0,---,0.0,---,0.0,---,0.0,1.0
sayaks05,Cold_fart10,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,PBKS,1.0,---,0.0,---,0.0,MI,0.0,---,0.0,---,0.0,---,0.0,1.0
shieldofachielles,shield of Achielles,---,0.0,---,0.0,CSK,0.0,GT,1.0,---,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
singh84,Singh,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
speedsterjk,SpeedsterJK,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,PBKS,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
.selmonbhai,Tanjiro kamado,RR,0.0,SRH,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
_simplet0n,ZePHyR,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
aakashmangla,Babu Bhaiya,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
colac07,Colac,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
d3vilbring3r,d3vilbring3r,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
drunk6202,DRUNK GAMBLER 🍻,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
ffirsty,FIRSTY,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
fullmetal77,FullMetal77,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,MI,0.0,---,0.0,---,0.0,---,0.0,0.0
gamerpradosh,Gamer Pradosh,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
jubilant_chipmunk_76062,,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
kakashi019805,Kakashi,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
mrj619,MrJ619,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
nftprofessor,NFTProfessor,---,0.0,SRH,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
riq9634,Riq,---,0.0,---,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
rithick_devaraj,rithick_devaraj,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
sauzz,Sauzz,---,0.0,SRH,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
weezyf.baby_,WEEZY F. Baby,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
