Dense Rank,Standard Rank,Username,Display Name,Match_1_Margin_Short,Match_1_Points,Match_2_Margin_Short,Match_2_Points,Match_3_Margin_Short,Match_3_Points,Match_4_Margin_Short,Match_4_Points,Match_5_Margin_Short,Match_5_Points,Match_6_Margin_Short,Match_6_Points,Match_7_Margin_Short,Match_7_Points,Total_Points
1,1,astrobot_7,PS_USER,11-20R,3.0,4-5W,3.0,61+R,3.0,11-20R,0.0,21-40R,0.0,21-30R,0.0,1-10R,0.0,9.0
1,1,csharp21,CSharp,11-20R,3.0,6-7W,0.0,61+R,3.0,11-20R,0.0,11-20R,0.0,11-20R,0.0,21-40R,3.0,9.0
1,1,gooffyluffyy,Luffy,41-60R,0.0,4-5W,3.0,61+R,3.0,11-20R,0.0,1-10R,3.0,31-40R,0.0,SO,0.0,9.0
1,1,hungry_wolf,HungrY WolF,11-20R,3.0,4-5W,3.0,41-60R,0.0,11-20R,0.0,11-20R,0.0,21-30R,0.0,21-40R,3.0,9.0
1,1,jadelessbarukan,jadeless,1-10R,0.0,4-5W,3.0,61+R,3.0,11-20R,0.0,61+R,0.0,1-10R,3.0,61+R,0.0,9.0
2,6,apurv5411,APURV,1-10R,0.0,4-5W,3.0,1-10R,0.0,11-20R,0.0,11-20R,0.0,11-20R,0.0,21-40R,3.0,6.0
2,6,maverick7749,Mav,11-20R,3.0,6-7W,0.0,11-20R,0.0,11-20R,0.0,1-10R,3.0,21-30R,0.0,11-20R,0.0,6.0
2,6,rishavmaiti,rishavmaiti,11-20R,3.0,4-5W,3.0,21-40R,0.0,---,0.0,11-20R,0.0,21-30R,0.0,41-60R,0.0,6.0
2,6,roguehunter15,RogueHunter,41-60R,0.0,4-5W,3.0,61+R,3.0,21-30R,0.0,41-60R,0.0,11-20R,0.0,11-20R,0.0,6.0
2,6,sriprakash,Sri Prakash,---,0.0,4-5W,3.0,41-60R,0.0,31-40R,3.0,41-60R,0.0,21-30R,0.0,61+R,0.0,6.0
2,6,thewebshooter,TheWebShooter,21-40R,0.0,4-5W,3.0,41-60R,0.0,21-30R,0.0,41-60R,0.0,21-30R,0.0,21-40R,3.0,6.0
2,6,vahgar,Allen The Alien,41-60R,0.0,4-5W,3.0,41-60R,0.0,31-40R,3.0,21-40R,0.0,11-20R,0.0,41-60R,0.0,6.0
3,13,fezvaz,Vaz,21-40R,0.0,2-3W,0.0,21-40R,0.0,31-40R,3.0,21-40R,0.0,31-40R,0.0,41-60R,0.0,3.0
3,13,gane_sh,Gane_sh,11-20R,3.0,6-7W,0.0,---,0.0,21-30R,0.0,21-40R,0.0,---,0.0,11-20R,0.0,3.0
3,13,gladiator30,Gladiator,21-40R,0.0,4-5W,3.0,1-10R,0.0,11-20R,0.0,41-60R,0.0,11-20R,0.0,1-10R,0.0,3.0
3,13,insane_dwane,Insane_Dwane,21-40R,0.0,6-7W,0.0,41-60R,0.0,21-30R,0.0,1-10R,3.0,21-30R,0.0,SO,0.0,3.0
3,13,jubilant_chipmunk_76062,,11-20R,3.0,---,0.0,---,0.0,21-30R,0.0,---,0.0,---,0.0,---,0.0,3.0
3,13,khanatfarm,KHANatFARM,1-10R,0.0,6-7W,0.0,21-40R,0.0,21-30R,0.0,21-40R,0.0,11-20R,0.0,21-40R,3.0,3.0
3,13,light_itachi_op,Lassi Sassy,61+R,0.0,4-5W,3.0,41-60R,0.0,---,0.0,41-60R,0.0,31-40R,0.0,41-60R,0.0,3.0
3,13,lokim_,lokim,---,0.0,4-5W,3.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,3.0
3,13,max._.caulfield,Max,41-60R,0.0,1W,0.0,21-40R,0.0,11-20R,0.0,1-10R,3.0,41+R,0.0,1-10R,0.0,3.0
3,13,psudorandom,psudorandom,---,0.0,4-5W,3.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,3.0
3,13,roarycat,RoaryCat,61+R,0.0,2-3W,0.0,61+R,3.0,21-30R,0.0,21-40R,0.0,11-20R,0.0,1-10R,0.0,3.0
3,13,slidemaster0547,Slide Master,21-40R,0.0,4-5W,3.0,41-60R,0.0,21-30R,0.0,61+R,0.0,31-40R,0.0,41-60R,0.0,3.0
3,13,static_25,Static,41-60R,0.0,2-3W,0.0,21-40R,0.0,21-30R,0.0,41-60R,0.0,11-20R,0.0,21-40R,3.0,3.0
3,13,tushar07019,,61+R,0.0,6-7W,0.0,1-10R,0.0,11-20R,0.0,1-10R,3.0,11-20R,0.0,1-10R,0.0,3.0
4,27,aaryangupta23,Aaryan,---,0.0,---,0.0,1-10R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
4,27,billuda,BILLUDA,61+R,0.0,2-3W,0.0,21-40R,0.0,11-20R,0.0,11-20R,0.0,SO,0.0,SO,0.0,0.0
4,27,cdgamers14,cdgamers😎,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,31-40R,0.0,---,0.0,0.0
4,27,crazybats_v,Casper,21-40R,0.0,2-3W,0.0,41-60R,0.0,41+R,0.0,61+R,0.0,11-20R,0.0,11-20R,0.0,0.0
4,27,dag_21,daggr,21-40R,0.0,---,0.0,---,0.0,21-30R,0.0,---,0.0,21-30R,0.0,11-20R,0.0,0.0
4,27,deadshot06.,,---,0.0,---,0.0,---,0.0,---,0.0,11-20R,0.0,---,0.0,---,0.0,0.0
4,27,emptycases,J,21-40R,0.0,8-10W,0.0,41-60R,0.0,21-30R,0.0,---,0.0,21-30R,0.0,11-20R,0.0,0.0
4,27,gamerpradosh,Gamer Pradosh,---,0.0,6-7W,0.0,---,0.0,---,0.0,11-20R,0.0,---,0.0,---,0.0,0.0
4,27,iamzeus,iAmZeus,21-40R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
4,27,jerry0_o,Jerry0_0,---,0.0,---,0.0,---,0.0,---,0.0,21-40R,0.0,---,0.0,---,0.0,0.0
4,27,joe_._mama,joe mama,---,0.0,---,0.0,---,0.0,41+R,0.0,---,0.0,---,0.0,---,0.0,0.0
4,27,lelouch1806,lelouch,21-40R,0.0,6-7W,0.0,11-20R,0.0,21-30R,0.0,21-40R,0.0,---,0.0,---,0.0,0.0
4,27,pkmkb6011,Victor,---,0.0,---,0.0,---,0.0,---,0.0,21-40R,0.0,---,0.0,---,0.0,0.0
4,27,reflekt_11,Reflekt,41-60R,0.0,6-7W,0.0,11-20R,0.0,21-30R,0.0,61+R,0.0,11-20R,0.0,1-10R,0.0,0.0
4,27,rithav,Arun Rithav,---,0.0,---,0.0,---,0.0,21-30R,0.0,---,0.0,---,0.0,---,0.0,0.0
4,27,shadow0403bsr,shadow43,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,11-20R,0.0,0.0
4,27,shieldofachielles,shield of Achielles,---,0.0,---,0.0,---,0.0,---,0.0,11-20R,0.0,---,0.0,---,0.0,0.0
4,27,thefarzi,Farzi,61+R,0.0,6-7W,0.0,41-60R,0.0,21-30R,0.0,61+R,0.0,11-20R,0.0,41-60R,0.0,0.0
4,27,weezyf.baby_,WEEZY F. Baby,1-10R,0.0,---,0.0,41-60R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
