Dense Rank,Standard Rank,Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Match_7_Team_Short,Match_7_Points,Match_8_Team_Short,Match_8_Points,Total_Points
1,1,apurv5411,APURV,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,GT,1.0,RCB,1.0,KKR,2.0,PBKS,2.0,8.0
1,1,emptycases,J,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,GT,1.0,RCB,1.0,KKR,2.0,PBKS,2.0,8.0
1,1,fezvaz,Vaz,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,GT,1.0,RCB,1.0,KKR,2.0,PBKS,2.0,8.0
1,1,insane_dwane,Insane_Dwane,RR,1.0,KKR,1.0,PBKS,1.0,RR,0.0,SRH,0.0,RCB,1.0,KKR,2.0,PBKS,2.0,8.0
1,1,max._.caulfield,Max,GT,0.0,KKR,1.0,PBKS,1.0,RR,0.0,GT,1.0,RCB,1.0,KKR,2.0,PBKS,2.0,8.0
1,1,roguehunter15,RogueHunter,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,GT,1.0,RCB,1.0,KKR,2.0,PBKS,2.0,8.0
1,1,thefarzi,Farzi,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,GT,1.0,RCB,1.0,KKR,2.0,PBKS,2.0,8.0
1,1,tushar07019,,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,GT,1.0,RCB,1.0,KKR,2.0,PBKS,2.0,8.0
2,9,crazybats_v,Casper,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,SRH,0.0,RCB,1.0,KKR,2.0,PBKS,2.0,7.0
2,9,dag_21,daggr,GT,0.0,KKR,1.0,PBKS,1.0,RR,0.0,GT,1.0,CSK,0.0,KKR,2.0,PBKS,2.0,7.0
2,9,khanatfarm,KHANatFARM,GT,0.0,KKR,1.0,PBKS,1.0,MI,1.0,GT,1.0,RCB,1.0,KKR,2.0,LSG,0.0,7.0
2,9,light_itachi_op,Lassi Sassy,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,SRH,0.0,RCB,1.0,KKR,2.0,PBKS,2.0,7.0
2,9,thewebshooter,TheWebShooter,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,GT,1.0,CSK,0.0,KKR,2.0,PBKS,2.0,7.0
3,14,csharp21,CSharp,RR,1.0,DC,0.0,CSK,0.0,MI,1.0,GT,1.0,RCB,1.0,KKR,2.0,LSG,0.0,6.0
3,14,gladiator30,Gladiator,GT,0.0,DC,0.0,CSK,0.0,MI,1.0,GT,1.0,CSK,0.0,KKR,2.0,PBKS,2.0,6.0
3,14,hungry_wolf,HungrY WolF,RR,1.0,DC,0.0,PBKS,1.0,RR,0.0,GT,1.0,RCB,1.0,KKR,2.0,LSG,0.0,6.0
3,14,reflekt_11,Reflekt,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,GT,1.0,RCB,1.0,RR,0.0,PBKS,2.0,6.0
3,14,slidemaster0547,Slide Master,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,GT,1.0,RCB,1.0,KKR,2.0,LSG,0.0,6.0
3,14,sriprakash,Sri Prakash,GT,0.0,---,0.0,PBKS,1.0,MI,1.0,GT,1.0,RCB,1.0,RR,0.0,PBKS,2.0,6.0
3,14,static_25,Static,GT,0.0,DC,0.0,CSK,0.0,MI,1.0,GT,1.0,CSK,0.0,KKR,2.0,PBKS,2.0,6.0
4,21,jadelessbarukan,jadeless,RR,1.0,DC,0.0,CSK,0.0,MI,1.0,GT,1.0,CSK,0.0,RR,0.0,PBKS,2.0,5.0
4,21,maverick7749,Mav,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,SRH,0.0,RCB,1.0,KKR,2.0,LSG,0.0,5.0
4,21,rishavmaiti,rishavmaiti,GT,0.0,DC,0.0,PBKS,1.0,RR,0.0,---,0.0,CSK,0.0,KKR,2.0,PBKS,2.0,5.0
4,21,vahgar,Allen The Alien,GT,0.0,DC,0.0,PBKS,1.0,RR,0.0,GT,1.0,RCB,1.0,RR,0.0,PBKS,2.0,5.0
5,25,astrobot_7,PS_USER,RR,1.0,DC,0.0,CSK,0.0,RR,0.0,GT,1.0,CSK,0.0,KKR,2.0,LSG,0.0,4.0
5,25,gooffyluffyy,Luffy,GT,0.0,DC,0.0,CSK,0.0,MI,1.0,GT,1.0,CSK,0.0,RR,0.0,PBKS,2.0,4.0
5,25,lelouch1806,lelouch,GT,0.0,DC,0.0,PBKS,1.0,MI,1.0,GT,1.0,RCB,1.0,---,0.0,---,0.0,4.0
6,28,gane_sh,Gane_sh,,,DC,0.0,CSK,0.0,---,0.0,GT,1.0,CSK,0.0,---,0.0,PBKS,2.0,3.0
7,29,billuda,BILLUDA,RR,1.0,KKR,1.0,CSK,0.0,RR,0.0,SRH,0.0,CSK,0.0,RR,0.0,LSG,0.0,2.0
7,29,cdgamers14,cdgamers😎,,,,,,,,,,,,,KKR,2.0,---,0.0,2.0
7,29,gamerpradosh,Gamer Pradosh,GT,0.0,---,0.0,PBKS,1.0,---,0.0,---,0.0,RCB,1.0,---,0.0,---,0.0,2.0
7,29,shadow0403bsr,shadow43,,,,,,,,,,,,,,,PBKS,2.0,2.0
7,29,weezyf.baby_,WEEZY F. Baby,,,KKR,1.0,---,0.0,MI,1.0,---,0.0,---,0.0,---,0.0,---,0.0,2.0
8,34,.agentvic,agentVic,,,,,,,,,,,RCB,1.0,---,0.0,---,0.0,1.0
8,34,1nv1nc1b1e18,Him.,,,,,,,,,,,RCB,1.0,---,0.0,---,0.0,1.0
8,34,_yoichi_,yoichi,,,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
8,34,aaryangupta23,Aaryan,,,,,,,RR,0.0,---,0.0,RCB,1.0,---,0.0,---,0.0,1.0
8,34,deadshot06.,,,,,,,,,,,,RCB,1.0,---,0.0,---,0.0,1.0
8,34,iamzeus,iAmZeus,,,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
8,34,jerry0_o,Jerry0_0,,,,,,,,,,,RCB,1.0,---,0.0,---,0.0,1.0
8,34,jubilant_chipmunk_76062,,,,DC,0.0,---,0.0,---,0.0,GT,1.0,---,0.0,---,0.0,---,0.0,1.0
8,34,pkmkb6011,Victor,,,,,,,,,,,RCB,1.0,---,0.0,---,0.0,1.0
8,34,roarycat,RoaryCat,RR,1.0,DC,0.0,CSK,0.0,RR,0.0,SRH,0.0,CSK,0.0,RR,0.0,LSG,0.0,1.0
9,44,joe_._mama,joe mama,,,,,,,,,SRH,0.0,---,0.0,---,0.0,---,0.0,0.0
9,44,madhavm14,maddy,GT,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
9,44,msvvamsi,Msv Vamsi,,,,,,,,,,,CSK,0.0,---,0.0,---,0.0,0.0
9,44,oracle_priest,oracle_priest,,,DC,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
9,44,psudorandom,psudorandom,,,,,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
